Source,Harga Lama,Harga Baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Buku-Novel/Mistery-Thriller/57999-Prince-of-Rockn-Roll-:-Sang-Pengintai.html,Rp 36.000,,Prince of Rock'n Roll : Sang Pengintai,9789791602129,Jakarta Exclusive ,2006,211,180 gr,Soft Cover,-,Mistery-Thriller,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/135193-Setiap-Hari-Bisa-Menghafal-Dzikir&Doa.html,Rp 49.500,,Setiap Hari Bisa Menghafal Dzikir&Doa (2015),9786023720095,Adi Bintang ,Mei - 2015,-,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Komedi/81958-Emak2-Fesbuker-Mencari-Cinta.html,Rp 40.000,,Emak2 Fesbuker Mencari Cinta,9786028597425,Leutika ,Juli - 2010,228,200 gr,Soft Cover,-,Komedi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/114114-Amplop-Rezeki.html,Rp 54.500,,Amplop Rezeki,9789793862811,Al Mawardi ,Mei - 2013,-,350 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Referensi/Referensi-Umum/150644-Aspek-Kesastraan-Panji-Angreni-Edisi-Revisi.html,Rp 75.000,,Aspek Kesastraan Panji Angreni Edisi Revisi,9789791012584,Wedatama Widya Sastra ,Juni - 2017,-,450 gr,Soft Cover,-,Referensi Umum,-,Indonesia ··
https://www.bukukita.com/Agama/Al-Quran/92315-AL-QALAM-AL-QURAN-DAN-TERJEMAHNYA.html,Rp 125.000,,AL QALAM - AL QURAN DAN TERJEMAHNYA,-,Fokus Media ,Mei - 2011,668,1350 gr,Hard Cover,-,Al-Quran,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Pendidikan-Anak/122615-English-For-Children-Beginner-1-2.html,Rp 48.000,,English For Children Beginner 1-2 (Paket),-,Wedatama Widya Sastra ,Februari - 2014,-,200 gr,Soft Cover,-,Pendidikan Anak,-,"Indonesia, English ··"
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/167333-Hidup-Berjaya-Dan-Sejahtera:-Empat-Jurus-Membangkit.html,Rp 75.000,,Hidup Berjaya Dan Sejahtera: Empat Jurus Membangkit,9786237162728,Gemilang ,Februari - 2021,345,300 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/114076-Jangan-Abaikan-Doa-Ayah.html,Rp 55.000,,Jangan Abaikan Doa Ayah ,9789793862644,Al Mawardi ,2013,-,350 gr,Hard Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Ekonomi-dan-Manajemen/Ekonomi/120432-Kretek-Pusaka-Nusantara.html,Rp 33.000,,Kretek Pusaka Nusantara,9786021404805,Diandra Primamitra ,Juni - 2013,-,250 gr,Soft Cover,-,Ekonomi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/164063-Tuntunan-lengkap-wajib-&-sunnah-:-HAJI-dan-UMRAH.html,Rp 55.000,,Tuntunan lengkap wajib & sunnah : HAJI dan UMRAH ( palapa ) ,9786025359255,MUTIARA ALAMAH ,Desember - 2019,-,200 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Bahasa-dan-Kamus/Belajar-Bahasa/131086-Jurus-Kilat-Menguasai-Sastra-Indonesia.html,Rp 35.000,,Jurus Kilat Menguasai Sastra Indonesia,9786021137369,Laskar Aksara ,Desember - 2014,-,160 gr,Soft Cover,-,Belajar Bahasa,-,
https://www.bukukita.com/Agama/Islam/167601-Lentera-Shalat:-Menemukan-Rahasia-Keindahan-Shalat-untuk-Meningkatkan.html,Rp 55.000,,Lentera Shalat: Menemukan Rahasia Keindahan Shalat untuk Meningkatkan,9786237163701,Alifia Books ,Mei - 2021,224,350 gr,soft cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/161960-Islam-Yang-Hilang-dari-Kita:-AKHLAK.html,Rp 115.000,,Islam Yang Hilang dari Kita: AKHLAK ( Cover Baru ) ,9786027720480,Lentera Hati ,Mei - 2019,-,400 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/163408-The-Power-of-Etiquette-Kiat-Sukses-Memasuki-Pergaulan-Modern.html,Rp 100.000,,The Power of Etiquette - Kiat Sukses Memasuki Pergaulan Modern,9786025849503,Buku Pintar Indonesia ,September - 2019,-,320 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/165469-ICE-BREAKER:-Penyemangat-Belajar-Dari-Membosankan-Menjadi-Rileks.html,Rp 50.000,,ICE BREAKER: Penyemangat Belajar Dari Membosankan Menjadi Rileks,9786232440586,Psikologi Corner ,Maret - 2020,-,240 gr,soft cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/166705-Buku-Sakti-Membaca-Karakter.html,Rp 63.500,,Buku Sakti Membaca Karakter,9786232440920,Psikologi Corner ,September - 2020,-,255 gr,soft cover,-,Psikologi,-,Indonesia ··
"https://www.bukukita.com/Agama/Islam/167237-Sebelum-Ijab-Kabul,-Bekal-Untuk-Kehidupan-Rumah-Tangga-yang-Bahagia.html",Rp 69.000,,"Sebelum Ijab Kabul, Bekal Untuk Kehidupan Rumah Tangga yang Bahagia",9786237163565,Alifia Books ,Januari - 2021,320,350 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Fiksi/167600-Off-The-Record-3.html,Rp 120.000,,Off The Record 3,9786020653365,Gramedia Pustaka Utama ,Mei - 2021,312,350 gr,Soft Cover,140x210mm,Fiksi,-,Indonesia ·
